,control number,personal name,personal relationship
253,9937158730101488,Theodorus Cyzicenus,aut
254,9937187900101488,"de Metz, Bernard",dte
257,9937217590101488,"a Costa, Nicolaus",eul
258,9937219700101488,"Dorat, Jean",eul
260,9937235530101488,"Cochlaeus, Joannes",edt
261,9937239940101488,"Chabanel, Jean",trl
262,9937320860101488,"Canisius, Petrus",aut
263,9937347140101488,Henricus de Segusia,aut
264,9937356910101488,Philippus de Franchis,ann
265,9937358410101488,"de Bohier, Nicolas",edt
266,9937358550101488,"de Torquemada, Juan",aut
267,9937359210101488,"de Bohier, Nicolas",edt
268,9937359320101488,"de Bohier, Nicolas",edt
269,9937359410101488,"de Bohier, Nicolas",edt
270,9937359450101488,"de Bohier, Nicolas",edt
271,9937361160101488,"de Monceaux, Carolus",ctb
272,9937362490101488,"Mella, Camillus",ann
273,9937365910101488,"Gaultier, Jacques",trl
274,9937368220101488,"Roussin, Jacques",trl
275,9937383770101488,"Chomedey, Jérôme.",trl
276,9937415230101488,"Luther, Martin",ctb
278,9937433800101488,"Bredin, Edouard",ill
279,9937434130101488,"Betrand, François",dte
280,9937435970101488,"Colombet, Philippe",eul
281,9937438300101488,"Bouchet, Jean",aut
283,9937442900101488,"de Thou, Christophe",dte
284,9937453700101488,"de Bry, Theodor",egr
285,9937485700101488,"Androuet Du Cerceau, Jacques",aut
286,9937485840101488,Charles,dte
287,9937495150101488,"Dalechamps, Jacques",trl
288,9937506780101488,"de Nevers, Louis",dte
289,9938020220101488,"Hotman, François",trl
290,9939409750101488,"Modestinus, Herennius",ctb
291,9939410040101488,"Davin, Arnaud.",ctb
292,9939410870101488,"Chappuis, Joannes",ctb
293,9939411530101488,"Alciatus, Andreas",ctb
294,9939412000101488,"Accursius, Bonus",ann
295,9939420260101488,Günther,dte
296,9939421270101488,"de Betrand, Pierre",dte
297,9939436620101488,"Parisio, Pierpaolo",edt
298,9939436930101488,"Parisio, Pierpaolo",edt
299,9939437100101488,"Tartagni, Alessandro",ctb
300,9939437370101488,"Parisio, Pierpaolo",edt
301,9939437690101488,"Parisio, Pierpaolo",ctb
302,9939437870101488,"Parisio, Pierpaolo",edt
303,9939437960101488,"Parisio, Pierpaolo",ctb
304,9939438010101488,"Parisio, Pierpaolo",edt
305,9939438190101488,"Loseo, Alessandro",edt
306,9939438790101488,"da Landriano, Bernardino",ann
310,9939489870101488,"Cellarius, Jacobus",edt
311,9939490480101488,"Germberg, Hermann",eul
312,9939496380101488,"Cicero, Marcus Tullius",aow
313,9939499320101488,"Cicero, Marcus Tullius",pub
314,9939499350101488,"Cicero, Marcus Tullius",pub
315,9939692170101488,"Dorat, Jean",eul
317,9939731250101488,Demosthenes.,aut
320,9940104540101488,Bernardus Claraevallensis,aut
321,9940120700101488,"Le Caron, Louis",aut
322,9940121210101488,"de Clermont-Tonnerre, Claude-Cathérine",dte
323,9940121730101488,"de Givry, Louise",dte
324,9940122440101488,"du Bellay, Henri.",dte
325,9940123080101488,"Bouchet, Guillaume",ctb
327,9940123430101488,"Desautels, Guillaume",pub
328,9940123980101488,Marguerite de France,dte
329,9940124190101488,"des Roches, Madeleine",aut
330,9940137270101488,"Seneca, Lucius Annaeus",aow
331,9940142530101488,Johann,dte
332,9940206230101488,"Décsi Baranyai, János",aut
333,9970128950101488,"de Soto, Pedro",ctb
335,9970174860101488,Pius,pat
336,9970179020101488,"Cochlaeus, Joannes",aut
337,9972529390101488,"von Manderscheid, Johann",dte
340,9974381610101488,"Aubert, Jacques",pub
341,9974391790101488,"Rouillé, Guillaume",aut
342,9974396890101488,"Collaert, Adriaan.",egr
346,9974936250101488,"Richeome, Louis",aut
347,9975209530101488,Philip,dte
349,9976067800101488,Wilhelm,dte
350,9976067990101488,"Gallus, Gregorius",apr
352,9976082420101488,"de Castro, Alphonsus",aut
354,9976098910101488,Ludwig zu Stolberg,dte
355,9976106850101488,"de Cheffontaines, Christophe",pat
356,9976110920101488,"de Belle-Forest, François",trl
358,9976147320101488,"Horantius, Franciscus",aut
359,9976164340101488,"Titelmannus, Franciscus",aut
360,9977096140101488,"de Castro, Alphonsus",aut
361,9977107350101488,"Bussin, Julius",dte
362,9977107520101488,"Bussin, Julius",dte
363,9977114900101488,"Duboys, Petrus",eul
364,9977139310101488,"Dany, N.",eul
365,9977140230101488,Ferdinand,dte
369,9977284470101488,"van Egmont, George",dte
371,9977284760101488,"Niewenhove, Franciscus",eul
373,9977289520101488,Gregorius,aut
376,9977341950101488,"Aleaume, Jean",edt
377,9977376180101488,"Cavellat, Guillaume",eul
378,9977383390101488,"Capitis, Fremin",aut
379,9977383750101488,"de Créqui Canaples, Antoine",dte
380,9977443430101488,"Helm, Heinrich",aut
382,9977454120101488,"Canisius, Petrus",edt
383,9977465550101488,"Miraeus, Ludovicus",aut
384,9977516070101488,"Benoit, Jean",edt
385,9977563980101488,Raymundus Lullus,aut
389,9977788280101488,"de Billy, Jean",dte
390,9979740940101488,"Lipsius, Justus",edt
394,9980027340101488,"Thriverius Brachelius, Hieremias.",aut
395,9980211430101488,Theodorus Gazaeus,trl
396,9980783800101488,"Heret, Mathurin",edt
398,9980786580101488,"Nuñez, Pedro Juan",edt
401,9992616206001488,"Cajetanus, Thomas de Vio",aut
402,9992616206101488,Thomas Aquinas,pub
406,9992628398901488,Joannes Campensis,trl
407,9932422100101488,Hermes Trismegistus.,aut
