Column,control number,personal name,personal name 1,personal name 2,personal name 3,personal relationship
771,9926840960101488,"Van Mallery, Karel",Van Mallery, Karel,,egr
773,9927165270101488,"de Vauchelles, Thomas",de Vauchelles, Thomas,,clb
782,9927486860101488,"Mignault, Claude",Mignault, Claude,,aut
841,9929073450101488,"van Ravelingen, Frans",van Ravelingen, Frans,,oth
844,9929102160101488,"Trithemius, Johannes",Trithemius, Johannes,,aut
981,9992500608701488,"Latomus, Bartholomaeus",Latomus, Bartholomaeus,,ann
1028,994113460101488,"Tartagni, Alessandro",Tartagni, Alessandro,,ctb
1036,997604310101488,"Wilhelm, Johann",Wilhelm, Johann,,ctb
1096,9911793110101488,"Marcile, Théodore",Marcile, Théodore,,eul
131,9916067400101488,"Poliziano, Angelo",Poliziano, Angelo,,ctb
202,9935346840101488,"Goossinus, Carolus",Goossinus, Carolus,,eul
204,9935350380101488,"Edouard, Jean.",Edouard, Jean.,,eul
238,9936967680101488,"d'Este, Ercole",d'Este, Ercole,,dte
239,9936983710101488,"Mucantius, Franciscus.",Mucantius, Franciscus.,,eul
240,9936984180101488,"Mucantius, Franciscus.",Mucantius, Franciscus.,,eul
278,9937433800101488,"Rancurel, Raymond",Rancurel, Raymond,,ill
280,9937435970101488,"Morellus, Claudius",Morellus, Claudius,,eul
284,9937453700101488,"Gardesius, Joannes",Gardesius, Joannes,,eul
296,9939421270101488,"Hospitalius, Michel",Hospitalius, Michel,,dte
310,9939489870101488,"Slavata, Zacharias",Slavata, Zacharias,,dte
320,9940104540101488,"Pamelius, Jacobus",Pamelius, Jacobus,,ctb
342,9974396890101488,Simeon Metaphrastes.,Simeon Metaphrastes.,,,aut
377,9977376180101488,"Menzelius, Philippus",Menzelius, Philippus,,ctb
435,9932505580101488,"Vlattenus, Joannes",Vlattenus, Joannes,,dte
436,9932512660101488,"Fortunatianus, Chirius",Fortunatianus, Chirius,,aut
475,9935205230101488,"Possevino, Antonio",Possevino, Antonio,,aut
714,9921530810101488,"Machiavelli, Niccolò",Machiavelli, Niccolò,,pub
740,9924541000101488,Viglius Zuichemus ab Aytta,Viglius Zuichemus ab Aytta,,,oth
773,9927165270101488,"Du Mont, Paul",Du Mont, Paul,,trl
782,9927486860101488,"Pasquier, Stephanus",Pasquier, Stephanus,,clb
841,9929073450101488,"Velleius Paterculus, Caius.",Velleius Paterculus, Caius.,,aut
981,9992500608701488,"Marsus, Petrus",Marsus, Petrus,,ann
1096,9911793110101488,"Dousa, Franciscus",Dousa, Franciscus,,eul
131,9916067400101488,"Rivaudeau, Robert",Rivaudeau, Robert,,eul
202,9935346840101488,"Iamotius, Federicus",Iamotius, Federicus,,eul
204,9935350380101488,"Tornasensis, Gervasius",Tornasensis, Gervasius,,eul
238,9936967680101488,"Diplovatatius, Thomas",Diplovatatius, Thomas,,ctb
239,9936983710101488,"Timoteo, Antonio",Timoteo, Antonio,,aut
278,9937433800101488,"Replongeus, Philibertus",Replongeus, Philibertus,,ctb
280,9937435970101488,"Morellus, Stephanus",Morellus, Stephanus,,eul
284,9937453700101488,"Probus, Marcus Valerius",Probus, Marcus Valerius,,ctb
296,9939421270101488,"Truchius, Joannes",Truchius, Joannes,,dte
310,9939489870101488,"Squarcialupi, Marcello",Squarcialupi, Marcello,,edt
342,9974396890101488,"Tigeou, Jacques",Tigeou, Jacques,,com
436,9932512660101488,"Marius Victorinus Afer, Caius.",Marius Victorinus Afer, Caius.,,aut
714,9921530810101488,"Possevino, Antonio",Possevino, Antonio,,aut
773,9927165270101488,"Loys, Jean",Loys, Jean,,clb
782,9927486860101488,"Quatersolidus, Nicolaus",Quatersolidus, Nicolaus,,clb
981,9992500608701488,Omnibonus Leonicenus,Omnibonus Leonicenus,,,ann
1096,9911793110101488,"Cospéan, Philippe",Cospéan, Philippe,,eul
131,9916067400101488,"Sauvage, Denis",Sauvage, Denis,,ctb
202,9935346840101488,"Lipsius, Justus",Lipsius, Justus,,eul
238,9936967680101488,"Grillando, Paolo.",Grillando, Paolo.,,ctb
278,9937433800101488,"Tamisier, Pierre",Tamisier, Pierre,,ctb
280,9937435970101488,"Vurry, Antoine",Vurry, Antoine,,eul
284,9937453700101488,"van Ghoer, Hermann",van Ghoer, Hermann,,dte
310,9939489870101488,"Strein von Schwarzenau, Wolfgang Heinrich",Strein von Schwarzenau, Wolfgang Heinrich,,dte
342,9974396890101488,"Viel, Pierre",Viel, Pierre,,com
436,9932512660101488,"Pithou, François",Pithou, François,,oth
773,9927165270101488,"Wion, Guillaume",Wion, Guillaume,,clb
1096,9911793110101488,"Boucault, Claudius",Boucault, Claudius,,eul
131,9916067400101488,"Vital, Jean",Vital, Jean,,eul
202,9935346840101488,"Meyerus, Antonius.",Meyerus, Antonius.,,eul
238,9936967680101488,"Vitalini, Bonifacio",Vitalini, Bonifacio,,ctb
310,9939489870101488,"ze Žerotína, Karel",ze Žerotína, Karel,,dte
436,9932512660101488,Priscianus Caesariensis.,Priscianus Caesariensis.,,,aut
1096,9911793110101488,Petrus Valens Groninganus,Petrus Valens Groninganus,,,eul
